id,y1,y2,y3,y4,gen,race,birth_year,age,income
467,80,80,50,50,1,1,1984,13,12300
468,0,0,0,0,1,1,1981,16,30142.8571428571
469,50,0,0,0,1,1,1982,15,
470,0,0,100,0,1,1,1981,16,11120
471,0,50,100,50,0,1,1980,17,23888.8888888889
472,0,0,0,0,1,1,1983,14,32978.5714285714
473,0,,0,50,1,1,1982,15,400
474,0,0,0,0,1,1,1984,13,20214.2857142857
475,50,3,10,100,0,1,1981,16,26176.9230769231
476,75,100,0,100,0,1,1982,15,28629.4615384615
477,95,0,99,65,1,1,1982,15,33700
478,99,99,90,100,1,0,1983,14,22181.8181818182
479,0,0,0,0,1,1,1982,15,13200
480,0,0,100,0,1,1,1980,17,33300
481,50,75,75,100,0,1,1984,13,38857.1428571429
482,0,0,0,0,0,1,1983,14,106135.25
483,90,90,70,40,0,1,1980,17,64200
484,100,100,100,0,1,1,1982,15,16566.6666666667
485,0,75,99,,0,0,1982,15,97890.2727272727
486,90,95,90,0,1,0,1980,17,30142.8571428571
487,100,100,90,5,0,0,1984,13,55566.6666666667
488,0,0,100,90,1,0,1982,15,28740
489,75,75,25,75,1,0,1982,15,16833.3333333333
490,75,76,70,80,0,1,1982,15,31333.3333333333
491,100,69,,100,0,1,1984,13,
492,95,100,100,40,1,0,1983,14,18125
493,85,,,,0,0,1981,16,70000
494,,0,0,0,1,1,1983,14,
495,,0,100,100,0,1,1984,13,
496,100,0,99,95,0,1,1984,13,45230.7692307692
497,100,100,100,0,1,1,1981,16,27500
498,75,100,99,90,1,0,1980,17,50103.2307692308
499,0,0,50,,1,1,1982,15,
500,99,99,75,,0,0,1982,15,65000
501,90,100,,,0,0,1982,15,84000
502,50,90,80,75,0,0,1983,14,41000
503,0,90,,0,0,0,1981,16,34985.7142857143
504,99,0,100,100,1,0,1984,13,14500
505,2,20,0,0,0,1,1984,13,11500
506,80,25,50,75,0,0,1982,15,150000
507,100,100,80,90,1,0,1984,13,24923.0769230769
508,90,100,50,100,0,1,1981,16,24500
509,99,100,99,100,1,1,1984,13,28269.2307692308
510,80,99,1,1,0,1,1980,17,20618.1818181818
511,,50,0,75,0,1,1980,17,43533.3333333333
512,100,,100,100,1,1,1981,16,6621.75
513,0,6,5,50,0,1,1982,15,14444.4444444444
514,0,,,,1,1,1981,16,28000
515,0,50,50,95,1,1,1983,14,28875
516,95,100,100,100,0,1,1983,14,
517,80,75,99,50,0,1,1981,16,33500
518,100,100,0,,1,1,1983,14,7600
519,100,,0,0,1,1,1980,17,25181.8181818182
520,10,90,70,80,0,1,1981,16,22000
521,100,95,100,50,0,1,1983,14,17250
522,,0,100,100,0,1,1983,14,28169.2307692308
523,100,100,50,10,1,0,1980,17,4475
524,50,50,50,60,0,1,1981,16,122608.866666667
525,90,75,50,10,0,1,1982,15,35428.5714285714
526,50,5,0,0,0,1,1983,14,10422.2222222222
527,75,90,100,99,0,0,1981,16,850
528,0,0,0,100,1,0,1982,15,30181.8181818182
529,0,0,0,0,1,1,1982,15,28850
530,90,,,,1,0,1982,15,15584.4444444444
531,95,,,,1,1,1980,17,18500
532,75,75,,,1,1,1983,14,
533,1,0,0,50,1,0,1983,14,34750
534,75,100,0,50,1,1,1981,16,34909.0909090909
535,75,0,0,0,1,0,1980,17,97170.8461538462
536,3,5,45,25,0,1,1982,15,46071.4285714286
537,85,100,85,,0,0,1982,15,30600
538,1,0,0,0,1,0,1983,14,27875
539,90,75,,50,0,1,1980,17,128483.666666667
540,80,99,100,100,1,1,1982,15,32250
541,100,99,80,,1,1,1982,15,24900
542,0,50,100,100,1,1,1984,13,40380.2
543,100,100,80,50,0,1,1983,14,16654.5454545455
544,95,99,100,70,0,0,1981,16,59157.1428571429
545,100,100,100,100,0,1,1981,16,35291.6666666667
546,10,50,0,10,0,0,1980,17,60000
547,100,0,60,75,0,0,1984,13,125650.5
548,25,20,0,20,1,0,1984,13,19840
549,50,,100,100,0,0,1981,16,39727.2727272727
550,85,10,90,90,0,0,1984,13,12600
551,50,100,75,75,0,0,1981,16,46742.1666666667
552,34,0,,,0,0,1981,16,6250
553,100,100,100,,0,0,1983,14,
554,,,,,0,0,1981,16,10750
555,80,100,100,97,0,0,1984,13,55083.3333333333
556,100,100,70,99,1,0,1982,15,8475
557,100,100,100,100,1,1,1981,16,26286.6666666667
558,95,98,90,95,0,0,1982,15,50800
559,100,99,100,100,1,0,1984,13,20000
560,100,100,99,99,1,0,1981,16,4140
561,10,40,50,50,0,0,1984,13,37076.9230769231
562,100,90,90,0,1,1,1983,14,15545.4545454545
563,0,0,0,0,0,0,1982,15,1280
564,99,99,100,75,0,0,1983,14,51366.6666666667
565,100,80,80,80,0,1,1982,15,32732.1818181818
566,100,100,100,0,1,1,1982,15,15966.3636363636
567,100,10,30,50,0,0,1980,17,81750
568,100,100,50,100,0,0,1981,16,34272.7272727273
569,50,50,,,0,0,1981,16,65000
570,100,100,,100,1,0,1982,15,9000
571,99,0,100,100,0,0,1980,17,43533.3333333333
572,99,100,100,100,0,0,1983,14,41578.5
573,100,100,100,100,1,1,1981,16,5500
574,100,100,99,0,1,1,1983,14,5000
575,,1,100,100,0,0,1981,16,
576,75,50,100,0,0,0,1981,16,41000
577,100,100,0,100,0,0,1984,13,44100
578,99,0,99,100,0,0,1982,15,23954.5454545455
579,96,100,100,100,1,0,1980,17,37734.1818181818
