y1,y2,y3,y4,x1,x2,x3,x4,gen
99,95,99,99,1,5,1,1,0
95,0,80,80,75,90,20,80,0
0,0,0,0,0,0,100,100,0
100,100,100,0,0,98,0,100,1
,90,90,95,,5,40,5,1
89,90,99,99,5,0,1,0,0
90,100,100,100,10,0,0,0,1
90,0,0,0,0,50,0,0,0
100,0,0,0,50,0,50,0,0
,,,100,,,,100,0
100,,,,0,,,,0
0,0,0,100,5,0,98,100,1
100,30,100,12,50,54,11,22,0
100,70,,0,0,0,,0,1
100,0,10,0,50,3,5,0,0
0,1,100,0,0,1,85,25,1
75,80,99,99,7,2,0,15,0
95,75,100,95,5,65,20,50,0
,100,100,98,,0,0,90,1
100,0,100,50,50,5,50,,0
,0,80,50,,50,0,50,0
75,0,0,78,20,100,100,100,1
85,80,75,75,10,5,5,15,1
80,0,100,100,40,0,75,0,1
100,100,99,50,0,50,50,75,1
100,0,90,0,25,50,50,100,0
0,0,100,,50,100,,,1
100,99,99,100,25,1,2,0,0
98,50,75,25,99,75,50,90,1
75,50,99,75,0,0,1,50,0
95,100,,,0,1,,,1
35,35,50,50,15,10,2,30,0
90,0,20,50,50,0,20,50,0
,,,100,,,,40,0
100,,,100,0,,,15,0
100,,,,0,,,,0
5,0,0,0,30,0,5,10,0
70,70,60,10,25,,20,90,0
75,90,99,80,60,10,1,50,0
100,100,75,0,1,0,5,1,1
0,0,50,100,0,10,0,0,1
1,75,2,80,1,80,,5,1
90,50,50,25,1,50,25,25,0
75,50,90,100,5,15,10,0,1
0,0,,,0,0,,,1
90,0,,0,20,25,,75,0
75,,80,,10,,0,,0
90,,0,75,10,,55,75,1
75,50,75,50,25,40,50,5,0
50,75,50,20,75,20,30,50,1
100,100,,,50,0,,,0
100,,1,1,0,50,1,1,0
50,50,80,90,30,70,45,50,0
75,99,50,50,0,0,0,0,0
,,,,,,,,0
0,50,0,50,1,55,45,90,1
65,55,69,0,3,65,42,50,1
99,100,50,50,5,50,50,98,1
80,60,96,98,20,0,0,10,0
90,100,50,,10,50,0,,0
0,100,100,100,0,0,50,50,0
100,100,100,100,,100,0,0,1
0,100,0,0,100,60,70,100,0
55,50,0,0,0,75,99,80,1
90,100,70,80,75,100,70,100,1
25,0,0,100,10,0,0,99,1
50,0,100,100,25,2,90,98,1
95,1,0,100,0,56,0,75,0
0,100,100,0,0,100,2,1,1
,0,99,100,,100,99,0,0
75,70,0,0,10,20,99,100,1
0,0,0,100,100,0,100,100,1
0,50,75,0,75,0,65,50,0
0,40,0,99,10,20,0,99,1
100,99,50,90,100,25,,10,0
100,99,,90,2,1,,60,1
,25,50,50,,0,25,50,0
100,50,100,100,50,90,,0,0
0,90,0,0,0,80,0,99,1
60,80,,90,50,25,,0,0
0,0,90,10,10,10,0,100,0
3,,,100,3,,,50,0
90,99,100,,10,10,45,,1
60,50,50,50,35,50,50,50,0
67,100,1,0,0,40,20,80,0
1,100,9,99,99,1,7,50,0
0,50,100,100,0,90,0,0,0
90,,,,100,0,,,1
0,0,100,,55,100,0,,0
10,,,0,0,,,100,1
90,7,100,99,8,0,0,50,0
0,0,0,0,0,0,100,100,0
100,90,100,80,0,90,0,30,1
0,,0,50,80,95,50,50,1
99,50,90,50,25,50,20,50,1
0,0,0,0,75,0,0,100,0
0,,,0,10,,,0,1
75,,,,10,,,,1
99,95,100,0,10,95,0,,1
50,100,50,50,10,0,5,50,1
100,36,0,,20,90,15,,0
75,50,0,0,5,10,0,0,0
100,100,100,0,3,10,1,35,1
50,50,0,0,50,,10,100,0
0,100,100,,10,0,75,,1
15,0,0,,50,0,0,,0
0,100,50,99,100,0,50,0,0
1,0,0,40,34,90,100,100,0
90,99,80,99,15,0,10,0,0
0,100,100,100,90,0,100,50,0
99,98,90,,25,25,10,,1
75,95,85,,50,10,15,,0
90,50,100,50,90,75,0,1,0
90,,,0,10,,,50,0
99,90,100,100,25,30,10,5,1
60,30,50,40,30,20,40,10,0
50,75,90,,25,25,0,0,1
0,0,0,100,2,0,0,,1
75,97,80,100,0,80,10,80,0
0,0,60,30,0,0,0,50,1
50,90,98,90,25,10,0,15,0
100,0,100,0,50,0,50,0,1
0,75,95,,0,0,0,,1
100,100,,,75,90,,,1
75,100,100,100,10,15,65,15,1
50,0,95,,25,0,0,,1
90,100,90,50,40,60,40,50,0
100,0,50,100,85,100,30,80,0
0,0,0,100,100,99,60,100,1
99,100,90,92,2,5,2,1,1
0,100,100,100,100,0,0,0,1
0,0,100,90,100,5,25,5,1
100,0,0,0,0,0,50,100,0
0,0,10,0,10,50,10,100,0
80,75,50,90,15,15,78,0,0
80,80,90,80,20,30,25,30,0
0,90,90,90,0,10,10,1,0
100,100,50,100,99,99,50,0,1
100,100,100,99,100,100,75,50,1
1,62,0,100,2,0,0,0,0
0,0,100,0,100,99,99,99,1
100,0,0,0,100,2,100,80,0
90,60,23,95,90,30,5,0,0
75,25,,1,25,0,,0,0
50,100,90,80,60,50,90,90,1
70,98,100,95,90,50,90,50,1
50,1,99,95,50,50,50,10,1
80,70,70,,20,90,20,,0
85,100,100,100,50,0,0,0,0
75,75,80,90,0,15,20,0,1
99,,0,,15,,0,,0
100,0,0,100,0,100,99,50,1
0,0,0,0,99,100,99,90,0
100,100,50,50,1,90,20,20,0
25,0,100,0,50,0,99,0,0
99,0,0,0,25,99,100,100,0
100,99,80,99,50,10,25,80,1
10,0,0,50,10,1,50,20,0
0,0,0,100,50,100,100,100,1
100,1,50,50,0,0,0,0,1
100,100,100,100,0,0,0,0,1
100,99,,,0,2,,,0
88,50,50,50,50,85,50,50,1
25,,,100,55,,,0,0
100,,,,0,,,,0
0,99,0,,5,30,0,,1
50,90,50,50,75,10,10,50,1
99,,,100,50,,,0,0
25,100,90,50,0,50,0,0,0
50,,0,0,25,,0,0,0
10,100,100,100,90,20,50,0,1
10,37,0,0,90,0,100,50,0
25,0,100,0,50,0,0,0,0
0,80,0,60,100,50,0,60,0
25,,,,15,,,,0
35,,,,10,,,,0
75,50,75,80,15,50,10,50,0
75,75,0,0,0,50,0,0,0
50,100,90,0,50,0,0,0,0
90,80,0,99,80,50,5,0,1
0,0,0,100,0,50,0,0,0
100,100,100,100,50,99,0,50,0
50,95,100,85,0,5,100,0,0
80,95,100,100,0,0,0,0,1
90,100,0,100,80,0,100,50,1
99,100,100,99,99,5,0,1,1
100,100,99,96,50,0,0,0,0
90,85,75,80,75,40,40,15,0
100,50,50,75,15,50,5,30,0
0,0,,0,5,100,,50,1
100,50,100,100,0,50,0,0,1
0,90,,100,0,0,,0,0
30,0,0,,100,90,85,,0
75,99,75,0,25,75,25,95,0
100,75,95,90,0,50,5,10,0
90,100,100,100,10,0,0,0,1
50,0,100,0,50,0,50,0,0
50,25,0,0,50,75,85,85,1
100,100,0,,0,75,0,,0
95,100,100,100,25,0,20,0,1
0,0,90,100,0,0,0,,1
75,50,0,50,10,50,50,50,1
