id,a13,a14,a15,a16,a17,a18,a19,a20,gen,race,income,birth_year,age
325,1,5,99,21,,,,,0,0,8.5693977548173,1984,13
326,,,,,50,,100,99,1,0,10.6731408701732,1980,17
327,,30,90,75,50,,,,1,0,9.6102074719617,1983,14
328,80,40,50,100,,,,,0,0,9.81834581356411,1984,13
329,50,99,75,100,,,,,0,0,8.51399295307655,1984,13
330,,,100,,,,,,0,0,9.74709273241255,1982,15
331,,,,,0,,95,0,1,0,10.5344180612165,1980,17
332,,,,,75,90,90,100,0,0,10.8695162511114,1980,17
333,,,0,0,0,0,,,1,0,9.67453947147818,1982,15
334,95,50,95,85,,,,,1,0,10.2587673483418,1984,13
335,,,,,100,100,,100,1,0,8.60356839878144,1980,17
336,,,10,50,100,5,,,0,1,10.2129048851309,1982,15
337,,100,60,75,90,,,,0,0,10.4931396871062,1983,14
338,,,,0,95,99,,,1,0,9.40723856697573,1981,16
339,,,,95,100,100,100,,1,0,10.6378792125075,1981,16
340,,,,90,0,50,80,,0,0,9.83884372863818,1981,16
341,,75,100,0,40,,,,0,0,9.71484482196506,1983,14
342,,,50,85,75,45,,,0,0,10.2722369601893,1982,15
343,5,40,0,70,,,,,0,0,8.25768402766868,1984,13
344,0,50,100,,,,,,0,0,9.32470113220801,1984,13
345,4,100,4,100,,,,,0,0,8.7684682392159,1984,13
346,100,100,100,0,,,,,0,1,9.98637417159022,1984,13
347,,,,0,90,90,98,,0,1,9.41389886053347,1981,16
348,,0,0,99,99,,,,0,1,9.46272581012829,1983,14
349,100,100,100,100,,,,,0,1,8.84525501595248,1984,13
350,30,40,0,0,,,,,0,0,9.36019599073891,1984,13
351,,,,90,100,0,100,,1,1,11.1195158546815,1981,16
352,,,,100,100,,100,,1,1,10.2270733829618,1981,16
353,,,0,,100,98,,,1,1,7.19325186585453,1982,15
354,,,0,0,99,100,,,1,1,10.15068323191,1982,15
355,,,,,,100,,0,1,1,10.0591154242041,1980,17
356,,,0,0,,0,,,1,1,8.11192776958702,1982,15
357,,,,50,0,0,0,,0,1,10.4202878469322,1981,16
358,,50,20,100,40,,,,0,1,10.270195405922,1983,14
359,,,0,100,100,,,,1,1,10.4436967060986,1983,14
360,100,90,95,98,,,,,0,1,10.2844441618512,1984,13
361,,,,,50,,,,0,1,8.31008540169124,1980,17
362,,,,90,100,100,100,,1,1,9.54601727033839,1981,16
363,,75,0,75,75,,,,1,1,9.81905414557485,1983,14
364,0,0,0,50,,,,,1,1,8.66705844997868,1984,13
365,,,50,0,100,0,,,1,1,9.85745505042869,1982,15
366,,,,,10,90,0,20,1,1,10.030362851634,1980,17
367,,,,75,50,50,80,,0,1,10.0260875522581,1981,16
368,,,,10,0,0,0,,1,1,9.98273017813677,1981,16
369,20,13,100,,,,,,0,1,10.7128282081986,1984,13
370,,,,20,35,30,20,,0,1,10.0234806454629,1981,16
371,,,0,100,0,0,,,1,1,9.60787934180263,1982,15
372,,0,100,100,100,,,,0,1,10.4877887749628,1983,14
373,10,0,5,99,,,,,1,1,10.0872515925606,1984,13
374,,,,70,90,20,50,,1,0,10.0764934896156,1981,16
375,,,10,5,,0,,,0,1,9.12699976841309,1982,15
376,,,,50,50,0,50,,0,1,10.8374203215989,1981,16
377,0,0,50,0,,,,,1,1,8.97633377831659,1984,13
378,65,75,50,50,,,,,0,1,9.91545916961237,1984,13
379,,,,,90,,,,1,1,8.24448733754278,1980,17
380,,100,99,50,90,,,,0,0,9.95223422530933,1983,14
381,,,,,,100,,,0,1,10.5918779714065,1980,17
382,,,,,,89,50,0,1,0,10.2175743261644,1980,17
383,100,,,,,,,,1,0,10.0808943926958,1984,13
384,,100,20,100,100,,,,0,1,10.4419687230754,1983,14
385,,,,100,1,0,0,,0,1,9.85217798955057,1981,16
386,,,,,5,50,100,0,0,1,10.9511469579194,1980,17
387,,100,0,100,50,,,,1,1,9.09929779957159,1983,14
388,,,100,100,100,100,,,1,1,8.85698539904995,1982,15
389,,,,30,90,,98,,1,0,9.07761430718972,1981,16
390,,0,0,0,20,,,,1,0,9.8577820776998,1983,14
391,,,,,50,50,0,,0,0,10.4031311152759,1980,17
392,,,,,50,0,50,75,0,1,9.9415549864034,1980,17
393,,80,99,100,100,,,,0,1,8.85762988068424,1983,14
394,90,30,100,95,,,,,0,1,10.3404865224133,1984,13
395,0,100,100,100,,,,,0,0,9.47727368373788,1984,13
396,,50,80,0,99,,,,0,0,9.81548673030855,1983,14
397,,,100,,100,0,,,0,1,9.75501735761801,1982,15
398,,,,,100,100,80,25,0,1,9.83502245188089,1980,17
399,,,,,75,50,50,,0,1,9.95076136018257,1980,17
400,,,75,100,99,50,,,1,1,9.52899563362427,1982,15
401,65,20,50,0,,,,,0,0,9.20581244345385,1984,13
402,100,50,85,99,,,,,1,0,10.1155808326337,1984,13
403,0,45,30,1,,,,,1,1,7.57647255800918,1984,13
404,,,,,100,0,50,90,0,0,10.3625243496206,1980,17
405,,,,75,0,10,60,,0,0,9.69702841353626,1981,16
406,,99,100,80,75,,,,1,0,9.54399315419326,1983,14
407,,,,0,10,100,50,,1,1,8.95015056565962,1981,16
408,,,,,100,100,1,100,0,1,10.1151896807155,1980,17
409,,,,,0,0,50,50,1,1,9.96971739102455,1980,17
410,,,,,6,,100,5,0,1,8.63136471201642,1980,17
411,,,,,0,50,0,50,1,1,8.5656513269021,1980,17
412,,,0,0,100,0,,,0,1,9.47299259955333,1982,15
413,,,,,0,0,89,100,0,1,9.94680302695246,1980,17
414,,,,,0,0,5,,1,1,10.2717900879601,1980,17
415,,,,80,90,99,90,,1,0,10.3490953042473,1981,16
416,,,,,50,75,50,50,1,0,10.2811993939823,1980,17
417,,,90,100,100,,,,1,0,10.5253593481388,1983,14
418,,50,,75,0,,,,0,0,9.15976894339893,1983,14
419,70,50,50,70,,,,,0,0,9.94147959524387,1984,13
420,,,,,80,75,90,50,0,0,10.5035882286128,1980,17
421,,,0,99,100,100,,,0,0,10.134869430819,1982,15
422,,,,,100,95,100,,0,1,10.0654330984215,1981,16
423,,0,100,100,,,,,1,1,9.35191265950074,1984,13
424,0,50,1,0,,,,,1,1,10.0115684816075,1984,13
425,,,75,90,95,100,,,1,0,10.3443290469841,1982,15
426,,,,,51,100,0,0,1,1,7.34178340454594,1980,17
427,,,,100,50,0,,,0,1,9.90812703865604,1981,16
428,0,2,60,100,,,,,1,1,10.1509425671782,1984,13
429,,,,,75,50,50,,0,0,9.40113445877858,1981,16
430,,0,0,50,0,,,,0,0,9.78972746795139,1983,14
431,90,0,100,100,,,,,1,1,8.98054698784441,1984,13
432,,,,0,100,100,10,,0,1,10.9957869567193,1981,16
433,95,0,90,0,,,,,1,1,9.58686882034738,1984,13
434,,,60,70,100,30,,,0,0,10.2112989002065,1982,15
435,,,,0,100,0,,,1,1,9.98914767227377,1981,16
436,,,0,,,,,,1,1,6.55244019676062,1982,15
437,,,,99,100,100,100,,1,1,9.17789100614801,1981,16
438,,90,95,40,90,,,,0,1,10.0171394113521,1983,14
439,99,0,6,100,,,,,1,1,9.15210728445072,1984,13
440,,,,,30,25,0,0,0,1,9.17765143545509,1980,17
441,,,0,60,99,30,,,0,1,9.80102801358563,1982,15
442,,,,0,0,100,0,,1,1,8.49813817293573,1981,16
443,,,,,0,0,0,10,0,1,7.78877505325334,1980,17
444,,,0,0,0,0,,,1,1,8.93404323200509,1982,15
445,,,,90,,,,,0,1,9.99161550490735,1981,16
446,,50,99,100,56,,,,0,1,10.5389767235231,1983,14
447,,50,30,0,20,,,,1,1,8.40893439259991,1983,14
448,,0,0,0,2,,,,1,1,8.71421028890001,1983,14
449,90,100,50,25,,,,,1,1,9.98825366418338,1984,13
450,,,,,65,,80,100,1,1,9.44689560092637,1980,17
451,,20,,,0,,,,0,1,10.1727128631794,1983,14
452,,,,25,,100,,,1,1,8.4734956371487,1981,16
