y1,y2,y3,y4,gen,race,income
95,87,80,90,1,0,50.976500425624
85,95,95,90,1,0,52.895364176778
0,80,99,10,0,0,52.5283238838675
0,0,0,0,1,0,53.6741719398225
80,0,0,100,0,1,50.3385834211015
50,75,85,75,1,0,56.771951764527
70,90,50,80,0,0,53.777080635709
97,0,100,100,0,0,49.8868145128755
95,0,100,0,1,0,50.8356522873275
99,100,50,80,0,0,52.9539544479065
50,0,1,0,1,1,51.5732891769835
0,0,50,15,0,0,52.7072962245075
100,100,100,100,1,1,50.136292008818
0,0,0,0,1,0,51.3059963167065
100,45,95,0,1,0,50.987584146915
100,100,100,100,0,0,53.499668844105
50,100,100,100,0,0,49.2257551696403
0,100,100,100,1,0,33.3693311534737
100,100,100,50,0,0,51.8659970035865
100,100,90,100,0,0,51.066530196735
0,0,100,99,1,0,45.2605984625739
75,100,100,100,1,0,47.1252217816296
75,100,100,0,1,1,50.424507911836
50,100,0,100,1,0,48.0296303975476
98,0,0,0,1,0,48.508699791254
90,50,100,100,0,0,50.612367368089
50,90,5,100,1,0,47.7113972204443
95,100,99,100,1,0,51.3344955234145
75,0,100,0,0,0,47.7884168524823
75,90,99,25,0,0,49.8888197055832
0,100,0,100,1,0,46.3790399053455
75,100,100,0,1,0,52.126730422467
0,0,100,100,1,0,52.0562582183235
99,100,50,100,1,0,51.084117014973
0,0,0,100,1,0,43.4353863161975
100,100,100,100,0,0,48.7562685890249
35,50,85,75,0,0,48.5793962362013
75,25,0,50,1,0,53.4022603255735
75,0,0,0,1,0,43.4298754348
60,75,95,99,0,0,44.6283956401134
100,30,30,100,0,0,53.9755816040735
75,99,99,100,0,0,49.3896308724121
95,90,50,100,0,0,52.1789092669475
75,90,95,0,0,0,52.153318024181
100,100,100,100,1,0,46.643687670794
50,50,50,50,1,1,38.5386655467636
0,100,0,100,1,1,45.4013221339896
80,96,95,100,0,0,52.250273807837
90,99,100,80,1,0,51.9598114500405
0,100,88,10,1,0,48.2134620104113
100,90,100,100,1,0,50.7727647180995
0,100,100,100,1,0,49.7666909522227
50,75,50,40,0,0,53.8086560260165
100,100,100,100,1,0,50.6143767988295
100,100,100,100,1,0,52.355039602141
75,60,75,90,1,0,52.881903440844
0,100,100,95,1,0,49.048116947862
78,0,50,0,1,0,51.9473260930845
100,100,100,99,0,0,57.524225251201
95,100,80,75,1,0,49.9093093959517
50,30,0,10,0,1,40.0321120738351
100,90,100,100,1,0,48.6681814249275
0,100,0,0,0,1,45.8770992412124
50,90,50,0,1,1,50.9151030838885
100,100,0,0,0,0,50.407467167157
0,0,0,0,1,0,52.8748429949845
99,100,99,100,0,0,53.1766704323065
100,100,100,100,0,0,46.2661918903328
90,50,75,50,1,0,48.0694659347026
75,45,40,25,0,0,55.4858820148715
90,95,90,90,0,0,56.730218408396
100,50,50,100,1,0,46.4041620033235
100,100,100,100,1,0,42.0788981257015
99,100,10,90,0,0,49.3248106039804
100,100,100,0,0,0,49.1175033494695
0,100,75,0,0,1,54.9086569071305
50,0,0,100,0,0,45.6884797244708
50,75,100,75,0,1,51.355298226955
75,50,100,100,1,0,49.8488890684596
100,100,100,0,1,0,40.5750678592522
90,90,90,90,1,0,43.7039122472773
100,100,100,100,0,0,32.7655170590475
5,0,0,50,1,1,42.1928078950206
5,1,1,65,0,0,46.0289907536169
85,0,50,50,0,0,56.7614262429925
75,70,80,50,1,0,45.9293772605476
25,95,100,70,1,0,50.947183841747
90,70,98,80,1,0,48.1959247338178
100,0,100,100,1,0,53.692563546365
0,0,5,5,1,1,48.2596808480791
1,30,100,99,1,0,41.0698045144667
75,75,50,75,1,0,51.7726438977645
100,99,99,100,0,0,52.402426495154
90,100,50,50,1,0,50.0931395893765
55,100,0,80,1,0,46.8934546719404
100,100,100,0,0,0,55.8299397872425
80,80,0,100,0,0,53.148922078731
60,96,80,98,0,0,52.3710836210615
75,75,70,75,1,1,49.95444106778
85,100,75,65,0,0,49.1656912114457
0,80,0,45,0,0,45.917098815617
100,0,100,0,1,0,35.1577431633162
0,0,50,100,0,0,56.5275133173255
0,0,80,100,1,0,50.840924812304
100,100,50,100,1,0,52.008465281442
50,0,50,50,0,0,53.976953108005
50,95,100,100,1,0,50.640966412898
100,100,75,50,0,0,48.8385809015991
90,95,0,100,1,0,51.058381880976
75,90,90,100,1,0,41.9543311331638
99,99,99,90,1,0,47.5537751970535
90,70,99,90,1,0,54.1364789712595
100,100,100,100,1,0,52.195228676232
50,90,75,98,1,0,46.7985331425379
0,2,0,0,0,0,55.504011816323
50,99,50,0,1,0,45.0294714057161
50,50,50,50,1,1,49.9810039527514
55,0,50,0,0,1,41.9743872841224
90,100,100,100,1,0,49.7031992639651
100,100,100,99,1,0,54.080225084397
75,50,85,10,1,0,41.7223136650785
99,100,99,100,0,0,51.7720476204095
75,99,75,0,0,0,50.3043959489205
95,100,98,100,1,0,50.781040323115
0,50,50,50,1,1,46.398796067424
100,90,75,90,0,0,51.2373189418055
77,50,100,90,0,0,48.64387674869
95,95,100,90,0,0,53.387878606507
95,0,0,60,1,1,50.616230692624
0,100,100,100,0,0,51.951935435082
100,90,75,100,0,0,56.9569858011285
100,100,100,100,1,1,47.7692222137763
100,100,70,90,0,0,53.051887621002
25,35,75,80,0,0,50.8596564927
0,50,0,50,0,0,55.1708573163655
100,99,0,50,1,1,52.363309984106
75,50,50,50,1,0,39.6458215804396
0,100,80,100,0,0,51.2241979626415
0,90,100,0,1,1,52.2887088284345
0,0,70,10,0,0,50.8410492943435
100,98,99,99,1,0,51.1638017876375
75,0,50,50,0,0,49.6608596428241
0,0,0,0,1,1,45.7445164597047
100,100,100,0,1,1,46.7683226104002
10,0,0,100,1,1,48.5800804178042
50,0,100,0,1,0,43.6523502309653
0,75,100,100,1,0,51.5119483143485
99,99,100,100,1,0,52.1573902913695
50,100,100,0,1,0,47.4598449337744
75,100,100,100,1,0,38.9782812413448
0,80,80,50,0,1,52.594426866512
0,100,50,100,1,0,51.269617538345
100,10,100,100,1,1,48.2336445118956
50,100,100,50,0,1,46.6481047348502
75,50,50,75,0,0,53.198495691022
25,50,20,30,1,0,45.2400581521189
0,100,100,0,0,0,51.413358528901
100,95,100,100,1,1,48.15885853295
0,1,0,0,1,1,42.4754956852562
75,25,50,95,0,0,48.5741517071574
100,0,0,0,1,0,45.0474852735054
0,0,0,0,1,1,50.2587917648165
15,50,5,50,0,1,43.8061206873828
50,1,50,5,0,1,48.2763037545159
15,100,0,0,0,1,52.803157057669
99,90,50,99,0,0,51.158187529437
90,99,99,100,0,0,48.5951803741304
54,100,100,70,0,1,54.1235492827985
100,100,10,0,1,0,51.0781188504505
100,60,0,0,1,1,53.926248429754
0,0,0,0,0,1,50.129516484689
50,100,100,100,1,0,45.7058257925292
20,2,10,15,0,0,52.7030329274525
25,100,4,15,1,1,43.0634658467902
0,0,0,0,0,1,45.3869253630583
0,80,100,100,1,0,47.9946791595236
0,49,99,100,1,0,47.9267385565718
75,100,50,50,0,1,51.117799921171
90,100,100,80,0,1,51.9110339795275
70,80,50,50,1,1,49.9335828398668
90,80,60,100,0,1,53.982179487943
50,50,50,50,1,1,48.6581887646922
